STATION,YEAR,MONTH,V1,F1,V2,F2,V3,F3,V4,F4,V5,F5,V6,F6,V7,F7,V8,F8,V9,F9,V10,F10,V11,F11,V12,F12,V13,F13,V14,F14,V15,F15,V16,F16,V17,F17,V18,F18,V19,F19,V20,F20,V21,F21,V22,F22,V23,F23,V24,F24,V25,F25,V26,F26,V27,F27,V28,F28,V29,F29,V30,F30,V31,F31
270165,1950,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1950,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M,-999.9,M,-999.9,M
270165,1950,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1950,4,0,,0,,0,,0,,0,,0,,0,,0.1,,0,,0,,0,,0,,10.4,,0,,0,,0,,0,,0,,0,,0.5,,0,,0,,12,,0,,1.2,,0,,0,,0,,50.4,,0,,-999.9,M
270165,1950,5,0,,40,,0,,0,,0,,0,,0,,0,,18.2,,0,,17.5,,0,,0,,0,,40.3,,35.9,,0,,0,,0,,9.4,,0,,0,,8.5,,6.1,,0,,0,,0,,0,,0,,0,,10.8,
270165,1950,6,3.4,,0,,0,,1.6,,1.3,,16.1,,0,,9.3,,0,,23.7,,0,,0,,0,,0,,0,,0,,0,,1.2,,0,,0,,0,,0,,12.5,,4.6,,24.5,,0,,0,,0,,9.1,,8,,-999.9,M
270165,1950,7,18.8,,4.1,,0,,0,,0,,12.5,,0,,20.5,,1.5,,0,,0,,0,,10.5,,0,,7.6,,5,,17,,9.5,,5,,40.8,,23.3,,0,,44.4,,4.9,,0,,17.3,,12.1,,10.2,,11.7,,1.5,,14.2,
270165,1950,8,0,,0,,7.6,,0,,15.2,,0,,0,,47.7,,0,,0,,1.1,,0,,8.7,,0.4,,20.2,,0,,10.2,,23.9,,27,,21.1,,2.6,,7,,64,,11.7,,1.6,,0,,21.1,,2,,0,,28.9,,10,
270165,1950,9,57.8,,41.5,,0.3,,76.4,,0,,0.7,,3.7,,45.5,,24.4,,0.8,,22.2,,0,,6.4,,1,,4,,0,,0.2,,5.2,,0,,0,,19,,4.9,,0,,0,,0,,0.5,,0,,43,,6.2,,0,,-999.9,M
270165,1950,10,7.1,,0,,0,,4.3,,8.8,,8,,0,,3.3,,16.4,,48.9,,14.5,,0,,0,,0,,23,,0,,4.1,,5.5,,0,,0,,0,,0,,9.3,,0,,0,,0,,0,,0,,0,,11.5,,0,
270165,1950,11,0,,0,,0.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M
270165,1950,12,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1951,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
